0x0339 1 X..XXX..XX......, 6 bits, 3 clusters
0x033c 1 ..XXXX..XX......, 6 bits, 2 clusters
0x033e 1 .XXXXX..XX......, 7 bits, 2 clusters
0x033f 1 XXXXXX..XX......, 8 bits, 2 clusters
0x0381 1 X......XXX......, 4 bits, 2 clusters
0x0382 1 .X.....XXX......, 4 bits, 2 clusters
0x0383 1 XX.....XXX......, 5 bits, 2 clusters
0x0384 1 ..X....XXX......, 4 bits, 2 clusters
0x0386 1 .XX....XXX......, 5 bits, 2 clusters
0x0387 1 XXX....XXX......, 6 bits, 2 clusters
0x0388 1 ...X...XXX......, 4 bits, 2 clusters
0x0389 1 X..X...XXX......, 5 bits, 3 clusters
0x038c 1 ..XX...XXX......, 5 bits, 2 clusters
0x038e 1 .XXX...XXX......, 6 bits, 2 clusters
0x038f 1 XXXX...XXX......, 7 bits, 2 clusters
0x0390 1 ....X..XXX......, 4 bits, 2 clusters
0x0391 1 X...X..XXX......, 5 bits, 3 clusters
0x0392 1 .X..X..XXX......, 5 bits, 3 clusters
0x0393 1 XX..X..XXX......, 6 bits, 3 clusters
0x0398 1 ...XX..XXX......, 5 bits, 2 clusters
0x0399 1 X..XX..XXX......, 6 bits, 3 clusters
0x039c 1 ..XXX..XXX......, 6 bits, 2 clusters
0x039e 1 .XXXX..XXX......, 7 bits, 2 clusters
0x039f 1 XXXXX..XXX......, 8 bits, 2 clusters
0x03c1 1 X.....XXXX......, 5 bits, 2 clusters
0x03c2 1 .X....XXXX......, 5 bits, 2 clusters
0x03c3 1 XX....XXXX......, 6 bits, 2 clusters
0x03c4 1 ..X...XXXX......, 5 bits, 2 clusters
0x03c6 1 .XX...XXXX......, 6 bits, 2 clusters
0x03c7 1 XXX...XXXX......, 7 bits, 2 clusters
0x03c8 1 ...X..XXXX......, 5 bits, 2 clusters
0x03c9 1 X..X..XXXX......, 6 bits, 3 clusters
0x03cc 1 ..XX..XXXX......, 6 bits, 2 clusters
0x03ce 1 .XXX..XXXX......, 7 bits, 2 clusters
0x03cf 1 XXXX..XXXX......, 8 bits, 2 clusters
0x03e1 1 X....XXXXX......, 6 bits, 2 clusters
0x03e2 1 .X...XXXXX......, 6 bits, 2 clusters
0x03e3 1 XX...XXXXX......, 7 bits, 2 clusters
0x03e4 1 ..X..XXXXX......, 6 bits, 2 clusters
0x03e6 1 .XX..XXXXX......, 7 bits, 2 clusters
0x03e7 1 XXX..XXXXX......, 8 bits, 2 clusters
0x03f1 1 X...XXXXXX......, 7 bits, 2 clusters
0x03f2 1 .X..XXXXXX......, 7 bits, 2 clusters
0x03f3 1 XX..XXXXXX......, 8 bits, 2 clusters
0x03f9 1 X..XXXXXXX......, 8 bits, 2 clusters
0x0401 1 X.........X....., 2 bits, 2 clusters
0x0402 1 .X........X....., 2 bits, 2 clusters
0x0403 1 XX........X....., 3 bits, 2 clusters
0x0404 1 ..X.......X....., 2 bits, 2 clusters
0x0406 1 .XX.......X....., 3 bits, 2 clusters
0x0407 1 XXX.......X....., 4 bits, 2 clusters
0x0408 1 ...X......X....., 2 bits, 2 clusters
0x0409 1 X..X......X....., 3 bits, 3 clusters
0x040c 1 ..XX......X....., 3 bits, 2 clusters
0x040e 1 .XXX......X....., 4 bits, 2 clusters
0x040f 1 XXXX......X....., 5 bits, 2 clusters
0x0410 1 ....X.....X....., 2 bits, 2 clusters
0x0411 1 X...X.....X....., 3 bits, 3 clusters
0x0412 1 .X..X.....X....., 3 bits, 3 clusters
0x0413 1 XX..X.....X....., 4 bits, 3 clusters
0x0418 1 ...XX.....X....., 3 bits, 2 clusters
0x0419 1 X..XX.....X....., 4 bits, 3 clusters
0x041c 1 ..XXX.....X....., 4 bits, 2 clusters
0x041e 1 .XXXX.....X....., 5 bits, 2 clusters
0x041f 1 XXXXX.....X....., 6 bits, 2 clusters
0x0420 1 .....X....X....., 2 bits, 2 clusters
0x0421 1 X....X....X....., 3 bits, 3 clusters
0x0422 1 .X...X....X....., 3 bits, 3 clusters
0x0423 1 XX...X....X....., 4 bits, 3 clusters
0x0424 1 ..X..X....X....., 3 bits, 3 clusters
0x0426 1 .XX..X....X....., 4 bits, 3 clusters
0x0427 1 XXX..X....X....., 5 bits, 3 clusters
0x0430 1 ....XX....X....., 3 bits, 2 clusters
0x0431 1 X...XX....X....., 4 bits, 3 clusters
0x0432 1 .X..XX....X....., 4 bits, 3 clusters
0x0433 1 XX..XX....X....., 5 bits, 3 clusters
0x0438 1 ...XXX....X....., 4 bits, 2 clusters
0x0439 1 X..XXX....X....., 5 bits, 3 clusters
0x043c 1 ..XXXX....X....., 5 bits, 2 clusters
0x043e 1 .XXXXX....X....., 6 bits, 2 clusters
0x043f 1 XXXXXX....X....., 7 bits, 2 clusters
0x0440 1 ......X...X....., 2 bits, 2 clusters
0x0441 1 X.....X...X....., 3 bits, 3 clusters
0x0442 1 .X....X...X....., 3 bits, 3 clusters
0x0443 1 XX....X...X....., 4 bits, 3 clusters
0x0444 1 ..X...X...X....., 3 bits, 3 clusters
0x0446 1 .XX...X...X....., 4 bits, 3 clusters
0x0447 1 XXX...X...X....., 5 bits, 3 clusters
0x0448 1 ...X..X...X....., 3 bits, 3 clusters
0x0449 1 X..X..X...X....., 4 bits, 4 clusters
0x044c 1 ..XX..X...X....., 4 bits, 3 clusters
0x044e 1 .XXX..X...X....., 5 bits, 3 clusters
0x044f 1 XXXX..X...X....., 6 bits, 3 clusters
0x0460 1 .....XX...X....., 3 bits, 2 clusters
0x0461 1 X....XX...X....., 4 bits, 3 clusters
0x0462 1 .X...XX...X....., 4 bits, 3 clusters
0x0463 1 XX...XX...X....., 5 bits, 3 clusters
0x0464 1 ..X..XX...X....., 4 bits, 3 clusters
0x0466 1 .XX..XX...X....., 5 bits, 3 clusters
0x0467 1 XXX..XX...X....., 6 bits, 3 clusters
0x0470 1 ....XXX...X....., 4 bits, 2 clusters
0x0471 1 X...XXX...X....., 5 bits, 3 clusters
0x0472 1 .X..XXX...X....., 5 bits, 3 clusters
0x0473 1 XX..XXX...X....., 6 bits, 3 clusters
0x0478 1 ...XXXX...X....., 5 bits, 2 clusters
0x0479 1 X..XXXX...X....., 6 bits, 3 clusters
0x047c 1 ..XXXXX...X....., 6 bits, 2 clusters
0x047e 1 .XXXXXX...X....., 7 bits, 2 clusters
0x047f 1 XXXXXXX...X....., 8 bits, 2 clusters
0x0480 1 .......X..X....., 2 bits, 2 clusters
0x0481 1 X......X..X....., 3 bits, 3 clusters
0x0482 1 .X.....X..X....., 3 bits, 3 clusters
0x0483 1 XX.....X..X....., 4 bits, 3 clusters
0x0484 1 ..X....X..X....., 3 bits, 3 clusters
0x0486 1 .XX....X..X....., 4 bits, 3 clusters
0x0487 1 XXX....X..X....., 5 bits, 3 clusters
0x0488 1 ...X...X..X....., 3 bits, 3 clusters
0x0489 1 X..X...X..X....., 4 bits, 4 clusters
0x048c 1 ..XX...X..X....., 4 bits, 3 clusters
0x048e 1 .XXX...X..X....., 5 bits, 3 clusters
0x048f 1 XXXX...X..X....., 6 bits, 3 clusters
0x0490 1 ....X..X..X....., 3 bits, 3 clusters
0x0491 1 X...X..X..X....., 4 bits, 4 clusters
0x0492 1 .X..X..X..X....., 4 bits, 4 clusters
0x0493 1 XX..X..X..X....., 5 bits, 4 clusters
0x0498 1 ...XX..X..X....., 4 bits, 3 clusters
0x0499 1 X..XX..X..X....., 5 bits, 4 clusters
0x049c 1 ..XXX..X..X....., 5 bits, 3 clusters
0x049e 1 .XXXX..X..X....., 6 bits, 3 clusters
0x049f 1 XXXXX..X..X....., 7 bits, 3 clusters
0x04c0 1 ......XX..X....., 3 bits, 2 clusters
0x04c1 1 X.....XX..X....., 4 bits, 3 clusters
0x04c2 1 .X....XX..X....., 4 bits, 3 clusters
0x04c3 1 XX....XX..X....., 5 bits, 3 clusters
0x04c4 1 ..X...XX..X....., 4 bits, 3 clusters
0x04c6 1 .XX...XX..X....., 5 bits, 3 clusters
0x04c7 1 XXX...XX..X....., 6 bits, 3 clusters
0x04c8 1 ...X..XX..X....., 4 bits, 3 clusters
0x04c9 1 X..X..XX..X....., 5 bits, 4 clusters
0x04cc 1 ..XX..XX..X....., 5 bits, 3 clusters
0x04ce 1 .XXX..XX..X....., 6 bits, 3 clusters
0x04cf 1 XXXX..XX..X....., 7 bits, 3 clusters
0x04e0 1 .....XXX..X....., 4 bits, 2 clusters
0x04e1 1 X....XXX..X....., 5 bits, 3 clusters
0x04e2 1 .X...XXX..X....., 5 bits, 3 clusters
0x04e3 1 XX...XXX..X....., 6 bits, 3 clusters
0x04e4 1 ..X..XXX..X....., 5 bits, 3 clusters
0x04e6 1 .XX..XXX..X....., 6 bits, 3 clusters
0x04e7 1 XXX..XXX..X....., 7 bits, 3 clusters
0x04f0 1 ....XXXX..X....., 5 bits, 2 clusters
0x04f1 1 X...XXXX..X....., 6 bits, 3 clusters
0x04f2 1 .X..XXXX..X....., 6 bits, 3 clusters
0x04f3 1 XX..XXXX..X....., 7 bits, 3 clusters
0x04f8 1 ...XXXXX..X....., 6 bits, 2 clusters
0x04f9 1 X..XXXXX..X....., 7 bits, 3 clusters
0x04fc 1 ..XXXXXX..X....., 7 bits, 2 clusters
0x04fe 1 .XXXXXXX..X....., 8 bits, 2 clusters
0x04ff 1 XXXXXXXX..X....., 9 bits, 2 clusters
0x0601 1 X........XX....., 3 bits, 2 clusters
0x0602 1 .X.......XX....., 3 bits, 2 clusters
0x0603 1 XX.......XX....., 4 bits, 2 clusters
0x0604 1 ..X......XX....., 3 bits, 2 clusters
0x0606 1 .XX......XX....., 4 bits, 2 clusters
0x0607 1 XXX......XX....., 5 bits, 2 clusters
0x0608 1 ...X.....XX....., 3 bits, 2 clusters
0x0609 1 X..X.....XX....., 4 bits, 3 clusters
0x060c 1 ..XX.....XX....., 4 bits, 2 clusters
0x060e 1 .XXX.....XX....., 5 bits, 2 clusters
0x060f 1 XXXX.....XX....., 6 bits, 2 clusters
0x0610 1 ....X....XX....., 3 bits, 2 clusters
0x0611 1 X...X....XX....., 4 bits, 3 clusters
0x0612 1 .X..X....XX....., 4 bits, 3 clusters
0x0613 1 XX..X....XX....., 5 bits, 3 clusters
0x0618 1 ...XX....XX....., 4 bits, 2 clusters
0x0619 1 X..XX....XX....., 5 bits, 3 clusters
0x061c 1 ..XXX....XX....., 5 bits, 2 clusters
0x061e 1 .XXXX....XX....., 6 bits, 2 clusters
0x061f 1 XXXXX....XX....., 7 bits, 2 clusters
0x0620 1 .....X...XX....., 3 bits, 2 clusters
0x0621 1 X....X...XX....., 4 bits, 3 clusters
0x0622 1 .X...X...XX....., 4 bits, 3 clusters
0x0623 1 XX...X...XX....., 5 bits, 3 clusters
0x0624 1 ..X..X...XX....., 4 bits, 3 clusters
0x0626 1 .XX..X...XX....., 5 bits, 3 clusters
0x0627 1 XXX..X...XX....., 6 bits, 3 clusters
0x0630 1 ....XX...XX....., 4 bits, 2 clusters
0x0631 1 X...XX...XX....., 5 bits, 3 clusters
0x0632 1 .X..XX...XX....., 5 bits, 3 clusters
0x0633 1 XX..XX...XX....., 6 bits, 3 clusters
0x0638 1 ...XXX...XX....., 5 bits, 2 clusters
0x0639 1 X..XXX...XX....., 6 bits, 3 clusters
0x063c 1 ..XXXX...XX....., 6 bits, 2 clusters
0x063e 1 .XXXXX...XX....., 7 bits, 2 clusters
0x063f 1 XXXXXX...XX....., 8 bits, 2 clusters
0x0640 1 ......X..XX....., 3 bits, 2 clusters
0x0641 1 X.....X..XX....., 4 bits, 3 clusters
